link,area,year_built,rooms,floor,region,total_price,price_per_m2,has_elevator,has_parking,has_storage,is_new,is_renovated,has_balcony,good_light,luxury_keywords,has_doc
https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B3%DB%B2-%D9%85%D8%AA%D8%B1%DB%8C-%D9%BE%D9%88%D9%86%DA%A9/Qah6VgJd,132,1387,3,3,,27500000000,208333000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B7%DB%B0-%D9%85%D8%AA%D8%B1-%D9%BE%D9%88%D9%86%DA%A9-%DA%A9%D9%85%D8%A7%D9%84%DB%8C-%D9%86%D9%88%D8%B3%D8%A7%D8%B2/Qad1vW4w,170,1403,3,46,,53000000000,311764000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B9%DB%B0-%D9%85%D8%AA%D8%B1-%DB%B1%DB%B0-%D8%B3%D8%A7%D9%84%D9%87-%D9%BE%D9%88%D9%86%DA%A9-%D9%85%DB%8C%D8%B1%D8%B2%D8%A7%D8%A8%D8%A7%D8%A8%D8%A7%DB%8C%DB%8C/QahqWJcg,90,1393,2,9023204510,پونک,21500000000,238888000,1,1,1,0,0,1,1,0,0
https://divar.ir/v/%DB%B6%DB%B7%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%BA%D8%B1%D9%82-%D9%86%D9%88%D8%B1-%D8%B9%D8%AF%D9%84-%D8%B4%D9%85%D8%A7%D9%84%DB%8C/QahuXlev,67,1386,1,671,پونک,13200000000,197014000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/86-%D9%85%D8%AA%D8%B1-%D9%BE%D9%88%D9%86%DA%A9-%DA%A9%D9%85%D8%A7%D9%84%DB%8C-%D8%B1%D9%88-%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%B3%D9%86%D8%AF%DB%8C/QahaXQdi,86,1389,2,2,پونک,16930000000,196860000,1,1,1,1,1,1,1,1,1
https://divar.ir/v/%D9%BE%D9%88%D9%86%DA%A9-%DA%A9%D9%85%D8%A7%D9%84%DB%8C-%DB%B1%DB%B7%DB%B0%D9%85%D8%AA%D8%B1-%DB%B2%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%DA%A9%D9%84%DB%8C%D8%AF-%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87/Qaz5n7wa,170,1402,3,1,,34000000000,200000000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B4%DB%B9-%D9%85%D8%AA%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9/QagqTlgx,149,1404,3,4,,37200000000,249664000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B3%DB%B6%D9%85%D8%AA%D8%B1-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%A8%D8%AF%D9%88%D9%86-%D9%85%D8%B4%D8%A7%D8%A8%D9%87-%D9%88%DB%8C%D9%88-%D8%A7%D8%A8%D8%AF%DB%8C-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9/QahynaME,136,1404,3,45,,35000000000,257352000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/130-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1-%D8%B3%D9%88%D9%86%D8%A7-%D8%AC%DA%A9%D9%88%D8%B2%DB%8C-%D9%87%D9%85%DB%8C%D9%84%D8%A7/QahiaRuN,130,1400,3,9,,42000000000,323076000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/124%D9%85%D8%AA%D8%B1%DB%8C-3%D8%AE%D9%88%D8%A7%D8%A8-%D9%BE%D9%88%D9%86%DA%A9-%D8%AF%D8%B1%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86/QahK2guF,124,1385,3,278124341318,,20800000000,167741000,0,1,1,0,0,0,0,0,0
https://divar.ir/v/%D8%B1%D9%88%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%DB%B9%DB%B7-%D9%85%D8%AA%D8%B1-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1/Qah-l9zN,97,1392,2,35,,17300000000,178350000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/97%D9%85%D8%AA%D8%B1-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%87%D9%85%DB%8C%D9%84%D8%A7-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C/QabuvGnY,97,1395,2,97255,,21000000000,216494000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D9%BE%D9%88%D9%86%DA%A9-%DB%B8%DB%B2%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%A8%D9%87-%D9%82%DB%8C%D9%85%D8%AA-%D8%B1%D8%B3%DB%8C%D8%AF%D9%87-%D9%81%D8%B1%D9%88%D8%B4%D9%86%D8%AF%D9%87-%D9%88%D8%A7%D9%82%D8%B9%DB%8C/QaVanSX9,82,1382,2,34,,14000000000,170731000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B6%DB%B7-%D9%85%D8%AA%D8%B1-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8-%D9%86%D9%88%D8%B1%DA%AF%DB%8C%D8%B1-%D8%AC%D9%86%D8%AA-%D8%A2%D8%A8%D8%A7%D8%AF-%D8%B4%D8%A7%D9%87%DB%8C%D9%86/QafefAQP,67,1385,2,44,,6821100,141791000,0,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B8%DB%B5%D9%85%D8%AA%D8%B1-%D8%A7%D8%B4%D8%B1%D9%81%DB%8C-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86%DB%8C-%D8%AA%D8%B1%D8%A7%D9%88%D8%B1%D8%AA%D9%86-%D8%B1%D9%88-%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8/Qaha2o0S,85,1394,2,35,,17650000000,207647000,1,1,1,0,0,0,0,0,0
