link,area,year_built,rooms,floor,region,total_price,price_per_m2,has_elevator,has_parking,has_storage,is_new,is_renovated,has_balcony,good_light,luxury_keywords,has_doc
https://divar.ir/v/%DB%B6%DB%B5-%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D8%AE%D9%88%D8%A7%D8%A8-%DA%A9%D9%84%DB%8C%D8%AF-%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9/QahaNiAT,65,1404,1,3.0,پونک,18500000000,284615384.61538464,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B6%DB%B0%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF/QaOadje7,160,1404,3,5.0,پونک,45000000000,281250000.0,1,1,1,0,0,0,1,0,1
https://divar.ir/v/%DB%B1%DB%B1%DB%B6%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE-%D8%B1%D9%88-%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%DA%A9%D9%85%D8%A7%D9%84%DB%8C/QafOChfs,116,1393,2,45.0,پونک,30000000000,258620689.6551724,1,1,1,0,0,0,0,0,1
https://divar.ir/v/106%D9%85%D8%AA%D8%B1-6%D8%B3%D8%A7%D9%84%D9%87-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D9%85%D8%AE%D8%A8%D8%B1%DB%8C-%D8%A8%D8%B5%D8%A7%D8%B1%D8%AA%DB%8C/QagWghWJ,106,1398,2,4.0,پونک,24000000000,226415094.33962265,1,1,1,0,0,1,1,0,1
https://divar.ir/v/%DB%B9%DB%B5-%D9%85%D8%AA%D8%B1-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C-%D8%AF%D8%B1-%D9%BE%D9%88%D9%86%DA%A9/Qag6WiNa,95,1391,2,4.0,پونک,17900000000,188421052.63157895,1,1,1,0,0,0,0,0,0
https://divar.ir/v/95%D9%85%D8%AA%D8%B1-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D8%AA%D8%B1%D8%A7%D9%88%D8%B1%D8%AA%D9%86-%DA%A9%D9%85-%D9%88%D8%A7%D8%AD%D8%AF-%D9%BE%D9%88%D9%86%DA%A9/Qahel_0X,95,1395,2,3.0,پونک,17200000000,181052631.57894737,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B2%DB%B4%D9%85-%DB%B2%D8%AE-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86-%D8%AC%D9%86%D8%AA-%D8%A7%D8%A8%D8%A7%D8%AF/Qad6qDXV,124,1402,2,5.0,پونک,27000000000,217741935.48387095,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B9%DB%B3-%D9%85%D8%AA%D8%B1-%D9%BE%D9%88%D9%86%DA%A9-%D8%A7%D8%B4%D8%B1%D9%81%DB%8C-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86%DB%8C-%D8%AA%D8%B1%D8%A7%D9%88%D8%B1%D8%AA%D9%86/QaJOId5_,93,1395,2,15.0,پونک,18900000000,203225806.4516129,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B5%DB%B0%D9%85%D8%AA%D8%B1-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D8%A8%D8%AF%D9%88%D9%86-%D9%85%D8%B4%D8%A7%D8%A8%D9%87-%D9%BE%D9%88%D9%86%DA%A9/QahGGrDv,150,1403,3,4.0,پونک,26000000000,173333333.33333334,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B2%DB%B5%D9%85%D8%AA%D8%B1-%DB%B3%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%81%D9%88%D9%84-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9/Qa3NCc--,125,1389,3,4.0,پونک,28400000000,227200000.0,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B1%DB%B7%D9%85%D8%AA%D8%B1-%DB%B3%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%DB%B2%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%B3%D9%86%D8%AF%DB%8C-%D9%86%D9%85%D8%A7-%D8%AA%D8%B1%D8%A7%D9%88%D8%B1%D8%AA%D9%86/QaheWnDs,117,1394,3,45.0,پونک,26500000000,226495726.4957265,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B3%DB%B1-%D9%85%D8%AA%D8%B1-%DB%B3%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D9%87%D9%85%DB%8C%D9%84%D8%A7-%D9%86%D9%87%D8%AC-%D8%A7%D9%84%D8%A8%D9%84%D8%A7%D8%BA%D9%87/Qa5xPYmQ,131,1396,3,34.0,پونک,32000000000,244274809.16030535,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B5%DB%B0-%D9%85%D8%AA%D8%B1-%DB%B3-%D8%AE%D9%88%D8%A7%D8%A8-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9-%D9%86%D9%88%D8%B1%DA%AF%DB%8C%D8%B1/QageAV2b,150,1385,3,5.0,پونک,28000000000,186666666.66666666,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B2%DB%B7%D9%85%D8%AA%D8%B1-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D8%AF%D9%88-%DA%A9%D9%84%D9%87-%D9%86%D9%88%D8%B1-%D9%BE%D9%88%D9%86%DA%A9-%DA%A9%D9%85%D8%A7%D9%84%DB%8C/QaNG6BzU,127,1404,2,1.0,پونک,39000000000,307086614.1732283,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B8%DB%B3-%D9%85%D8%AA%D8%B1-%D9%82%D9%84%D8%A8-%D9%BE%D9%88%D9%86%DA%A9-%D9%81%D8%B1%D9%88%D8%B4-%D9%81%D9%88%D8%B1%DB%8C-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87/QahWagU8,83,1388,2,45.0,پونک,18700000000,225301204.8192771,1,1,1,0,0,0,0,0,0
